---
source: R[v4.4.3]::data.table[v1.17.0]::fwrite
creation_time_utc: 2025-04-04 18:13:20
schema:
  fields:
  - name: species
    type: character
  - name: posID
    type: numeric
  - name: tag
    type: character
  - name: time
    type: numeric
  - name: datetime
    type: POSIXct
  - name: x
    type: numeric
  - name: 'y'
    type: numeric
  - name: nbs
    type: numeric
  - name: varx
    type: numeric
  - name: vary
    type: numeric
  - name: speed_in
    type: numeric
  - name: speed_out
    type: numeric
  - name: x_raw
    type: numeric
  - name: y_raw
    type: numeric
  - name: n_aggregated
    type: integer
header: yes
sep: ','
sep2:
- ''
- '|'
- ''
eol: "\r\n"
na.strings: ''
dec: '.'
qmethod: double
logical01: no
---
species,posID,tag,time,datetime,x,y,nbs,varx,vary,speed_in,speed_out,x_raw,y_raw,n_aggregated
redshank,1229,3027,1695446880,2023-09-23T05:28:00Z,650782.199189729,5901809.48411019,3,0.184981960338899,0.391293241706911,0.232178671234075,0.261030380744297,650782.422348189,5901809.51349527,19
redshank,1247,3027,1695446940,2023-09-23T05:29:00Z,650789.492987939,5901811.43309375,3,0.277349414709943,0.622555856473719,0.190897315874792,0.180942380648577,650789.634872968,5901813.06325661,17
redshank,1265.5,3027,1695447000,2023-09-23T05:30:00Z,650797.998050571,5901811.06826019,3.2,0.258256631791592,0.56484394133091,0.313884502732156,0.284713339740022,650798.015288199,5901811.7838191,20
redshank,1285,3027,1695447060,2023-09-23T05:31:00Z,650797.21889684,5901795.72978161,3.26315789473684,0.321447254548112,2.25975110061941,0.399294487690494,0.421360193893852,650797.229607995,5901795.88078723,19
redshank,1303.5,3027,1695447120,2023-09-23T05:32:00Z,650786.767020857,5901780.76723458,3.22222222222222,0.237455914049973,0.630053581279001,0.385692991487942,0.397547199501136,650786.770278495,5901780.87931819,18
redshank,1321,3027,1695447180,2023-09-23T05:33:00Z,650776.979005531,5901772.00413385,3,0.312894920576815,0.551657301331887,0.312575693140866,0.282800839460439,650777.014618395,5901771.93115102,17
redshank,1338.5,3027,1695447240,2023-09-23T05:34:00Z,650766.433956995,5901756.89977289,3,0.147853760807602,0.325270203896511,0.394511262875761,0.411249481415039,650766.489016104,5901756.69326466,18
redshank,1355,3027,1695447300,2023-09-23T05:35:00Z,650758.772957042,5901742.40580149,3,0.258145900832282,0.414456368552314,0.38460247198581,0.397214453857347,650758.519194267,5901742.71457319,15
redshank,1370.5,3027,1695447360,2023-09-23T05:36:00Z,650758.070268777,5901713.19811366,3.125,0.818902548402548,0.918120616115629,0.44345787396691,0.424454954614342,650756.722067926,5901712.8406043,16
redshank,1387,3027,1695447420,2023-09-23T05:37:00Z,650760.425814006,5901702.24308233,3,0.352042716679689,0.588441294369813,0.19205155135633,0.182534740629645,650761.009276797,5901701.58297743,17
redshank,1404.5,3027,1695447480,2023-09-23T05:38:00Z,650761.965595272,5901696.16986588,3,0.205343232110695,0.404921931249124,0.249816333316173,0.259813305472765,650761.785115591,5901695.99316065,18
redshank,1422.5,3027,1695447540,2023-09-23T05:39:00Z,650758.148287141,5901683.79167679,3.05555555555556,0.325720947097849,0.815206393047616,0.396512261876256,0.391523532663801,650758.389301379,5901684.6189183,18
redshank,1440,3027,1695447600,2023-09-23T05:40:00Z,650752.759366361,5901671.5298744,3,0.191753673718462,0.382597684035252,0.238595585139906,0.229496995865873,650752.706986776,5901671.85892897,17
